4.49	4.61	5.68	4.63	5.96	5.90	4.96	5.01	4.80	4.68	3.66	4.27	166.31
5.33	6.01	5.64	5.02	6.03	5.91	5.16	6.08	4.84	5.58	3.51	4.47	113.35
3.23	4.91	4.55	4.00	3.73	3.50	3.11	4.00	3.07	3.39	2.65	3.93	9.98
5.19	5.37	5.14	4.53	4.45	4.27	3.81	4.31	3.46	4.19	3.66	4.94	12.00
4.36	5.11	5.39	5.00	3.79	4.16	4.52	5.01	3.61	4.36	4.20	3.52	32.70
4.88	4.70	6.17	3.74	4.13	5.21	4.04	4.82	3.70	4.62	3.55	4.57	91.44
3.76	4.88	4.99	4.85	3.64	3.90	3.64	4.17	3.07	3.67	3.22	3.50	9.22
3.93	5.06	5.36	5.55	3.45	4.40	4.29	4.83	3.10	4.61	3.08	4.12	6.13
5.03	5.31	5.20	5.25	4.23	4.65	4.03	3.93	3.25	3.86	4.15	4.23	10.22
4.25	4.93	4.36	4.47	3.26	3.41	3.59	3.93	3.17	3.95	3.63	4.10	3.22
4.27	4.54	5.62	5.24	3.78	4.41	4.29	5.38	3.57	4.68	3.77	5.24	13.01
2.76	4.04	4.81	5.15	2.90	4.21	3.54	3.86	3.05	3.36	2.93	3.96	9.20
4.07	5.22	4.94	3.93	4.11	4.08	3.71	4.74	3.08	3.96	2.98	3.90	62.98
5.99	5.94	6.05	4.99	6.36	6.38	5.89	6.35	5.94	5.79	3.95	4.77	315.05
